Capacitor,Raw,Country,City,Latitude,Longitude,Production_2022,WRI,Exposure,Vulnerabilty
MLCC,Tin,China,Shanghai,31.230416,121.473701,95000,28.7,64.59,12.75
MLCC,Tin,Indonesia,Kalimantan,0.9618834,114.5548495,74000,41.46,39.89,43
MLCC,Tin,Myanmar,Yangon,16.840939,96.173526,31000,35.49,22.43,56
MLCC,Tin,Peru,Lima,-12.0463731,-77.042754,29000,25.41,16.65,39
MLCC,Tin,Congo,Brazzaville,-4.2633597,15.2428853,20000,9.65,1.37,68
MLCC,Tin,Bolivia,Santa Cruz de la Sierra,-17.8145819,-63.1560853,18000,3.07,0.35,27
MLCC,Tin,Brazil,São Paulo,-23.5557714,-46.6395571,18000,12.15,6.37,23
MLCC,Tin,Australia,Sydney,-33.8688197,151.2092955,9700,21.36,31.21,14.62
MLCC,Tin,Others,,,,15300,4.11,1.05,20.39
MLCC,Nickel,Indonesia,Kalimantan,0.9618834,114.5548495,1600000,41.46,39.89,43
MLCC,Nickel,Philippines,Manila,14.5995124,120.9842195,330000,46.82,39.99,55
MLCC,Nickel,Russia,Moscow,55.755826,37.6173,220000,26.54,28.35,25
MLCC,Nickel,New Caledonia,Nouméa,-22.2734912,166.4480887,190000,0,0,0
MLCC,Nickel,Australia,Sydney,-33.8688197,151.2092955,160000,21.36,31.21,15
MLCC,Nickel,Canada,Toronto,43.653226,-79.3831843,130000,18.99,25.89,14
MLCC,Nickel,China,Shanghai,31.230416,121.473701,110000,28.7,64.59,13
MLCC,Nickel,Others,,,,560000,4.11,1.05,20
MLCC,Copper,Chile,Santiago,-33.4488897,-70.6692655,5200,13.84,12.86,15
MLCC,Copper,Congo,Brazzaville,-4.2633597,15.2428853,2200,9.65,1.37,68
MLCC,Copper,Peru,Lima,-12.0463731,-77.042754,2200,25.41,16.65,39
MLCC,Copper,China,Shanghai,31.230416,121.473701,1900,28.7,64.59,13
MLCC,Copper,United States,New York,40.7127753,-74.0059728,1300,22.73,39.59,13
MLCC,Copper,Russia,Moscow,55.755826,37.6173,1000,26.54,28.35,25
MLCC,Copper,Australia,Sydney,-33.8688197,151.2092955,920,21.36,31.21,15
MLCC,Copper,Indonesia,Kalimantan,0.9618834,114.5548495,830,41.46,39.89,43.1
MLCC,Copper,Zambia,Lusaka,-15.3875259,28.3228165,770,2.94,0.28,30.83
MLCC,Copper,Mexico,Mexico City,19.4326077,-99.133208,740,37.55,50.08,28.16
MLCC,Copper,Others,,,,4940,4.11,1.05,20.39
MLCC,Zinc,China,Shanghai,31.230416,121.473701,4200,28.7,64.59,13
MLCC,Zinc,Peru,Lima,-12.0463731,-77.042754,1400,25.41,16.65,39
MLCC,Zinc,Australia,Sydney,-33.8688197,151.2092955,1300,21.36,31.21,15
MLCC,Zinc,India,Kurebhar,26.4128273,82.1215072,830,42.31,35.99,50
MLCC,Zinc,United States,New York,40.7127753,-74.0059728,770,22.73,39.59,13
MLCC,Zinc,Mexico,Mexico City,19.4326077,-99.133208,740,37.55,50.08,28
MLCC,Zinc,Bolivia,Santa Cruz de la Sierra,-17.8145819,-63.1560853,520,3.07,0.35,27
